Number of mail,Accuracy
5,"0,04395604395604396"
6,"0,04395604395604396"
7,"0,04395604395604396"
8,"0,08791208791208792"
9,"0,12087912087912088"
10,"0,13186813186813187"
11,"0,21978021978021978"
12,"0,3626373626373626"
13,"0,34065934065934067"
14,"0,37362637362637363"
15,"0,3626373626373626"
16,"0,3626373626373626"
17,"0,4065934065934066"
18,"0,4065934065934066"
19,"0,38461538461538464"
20,"0,42857142857142855"
21,"0,42857142857142855"
22,"0,31868131868131866"
23,"0,3516483516483517"
24,"0,3516483516483517"
25,"0,32967032967032966"
26,"0,3626373626373626"
27,"0,3626373626373626"
28,"0,34065934065934067"
29,"0,3626373626373626"
30,"0,3626373626373626"
31,"0,3516483516483517"
32,"0,3626373626373626"
33,"0,3626373626373626"
34,"0,37362637362637363"
35,"0,3956043956043956"
36,"0,38461538461538464"
37,"0,4175824175824176"
38,"0,4175824175824176"
39,"0,4175824175824176"
40,"0,4175824175824176"
41,"0,4175824175824176"
42,"0,45054945054945056"
43,"0,45054945054945056"
44,"0,45054945054945056"
45,"0,45054945054945056"
46,"0,45054945054945056"
47,"0,4725274725274725"
48,"0,4835164835164835"
49,"0,4945054945054945"
50,"0,4945054945054945"
51,"0,5054945054945055"
52,"0,4945054945054945"
53,"0,5384615384615384"
54,"0,5384615384615384"
55,"0,5384615384615384"
56,"0,5384615384615384"
57,"0,5384615384615384"
58,"0,5384615384615384"
59,"0,5494505494505495"
60,"0,5384615384615384"
61,"0,5384615384615384"
62,"0,5384615384615384"
63,"0,5714285714285714"
64,"0,6043956043956044"
65,"0,6043956043956044"
66,"0,6043956043956044"
67,"0,6043956043956044"
68,"0,6263736263736264"
69,"0,6263736263736264"
70,"0,6263736263736264"
71,"0,6263736263736264"
72,"0,6263736263736264"
73,"0,6263736263736264"
74,"0,6263736263736264"
75,"0,6153846153846154"
76,"0,6153846153846154"
77,"0,6043956043956044"
78,"0,6153846153846154"
79,"0,5934065934065934"
80,"0,5934065934065934"
81,"0,5934065934065934"
82,"0,5934065934065934"
83,"0,5824175824175825"
84,"0,5934065934065934"
85,"0,5934065934065934"
86,"0,6373626373626373"
87,"0,6593406593406593"
88,"0,6593406593406593"
89,"0,6593406593406593"
90,"0,6593406593406593"
91,"0,6593406593406593"
92,"0,6593406593406593"
93,"0,6593406593406593"
94,"0,6593406593406593"
95,"0,6813186813186813"
96,"0,6923076923076923"
97,"0,6923076923076923"
98,"0,6923076923076923"
99,"0,6813186813186813"
100,"0,6813186813186813"
