Number of mail,Accuracy
5,"0,3626373626373626"
6,"0,3626373626373626"
7,"0,3626373626373626"
8,"0,37362637362637363"
9,"0,3626373626373626"
10,"0,37362637362637363"
11,"0,37362637362637363"
12,"0,3626373626373626"
13,"0,3626373626373626"
14,"0,5274725274725275"
15,"0,5494505494505495"
16,"0,5274725274725275"
17,"0,5274725274725275"
18,"0,5384615384615384"
19,"0,5384615384615384"
20,"0,5384615384615384"
21,"0,5164835164835165"
22,"0,5164835164835165"
23,"0,5054945054945055"
24,"0,5274725274725275"
25,"0,5274725274725275"
26,"0,5604395604395604"
27,"0,5384615384615384"
28,"0,5274725274725275"
29,"0,5494505494505495"
30,"0,5494505494505495"
31,"0,5494505494505495"
32,"0,5494505494505495"
33,"0,5494505494505495"
34,"0,5494505494505495"
35,"0,5494505494505495"
36,"0,5494505494505495"
37,"0,5494505494505495"
38,"0,5494505494505495"
39,"0,5494505494505495"
40,"0,5494505494505495"
41,"0,5714285714285714"
42,"0,5714285714285714"
43,"0,5714285714285714"
44,"0,5274725274725275"
45,"0,5274725274725275"
46,"0,5274725274725275"
47,"0,5384615384615384"
48,"0,5384615384615384"
49,"0,5384615384615384"
50,"0,37362637362637363"
51,"0,3956043956043956"
52,"0,37362637362637363"
53,"0,3956043956043956"
54,"0,37362637362637363"
55,"0,3956043956043956"
56,"0,37362637362637363"
57,"0,3956043956043956"
58,"0,37362637362637363"
59,"0,37362637362637363"
60,"0,3626373626373626"
61,"0,4175824175824176"
62,"0,4175824175824176"
63,"0,4175824175824176"
64,"0,3956043956043956"
65,"0,3956043956043956"
66,"0,3956043956043956"
67,"0,3956043956043956"
68,"0,3956043956043956"
69,"0,3956043956043956"
70,"0,3956043956043956"
71,"0,38461538461538464"
72,"0,5384615384615384"
73,"0,5384615384615384"
74,"0,3626373626373626"
75,"0,3626373626373626"
76,"0,3626373626373626"
77,"0,3626373626373626"
78,"0,3626373626373626"
79,"0,3626373626373626"
80,"0,38461538461538464"
81,"0,38461538461538464"
82,"0,4175824175824176"
83,"0,4175824175824176"
84,"0,4175824175824176"
85,"0,4175824175824176"
86,"0,4175824175824176"
87,"0,4175824175824176"
88,"0,4175824175824176"
89,"0,4175824175824176"
90,"0,4175824175824176"
91,"0,4175824175824176"
92,"0,37362637362637363"
93,"0,37362637362637363"
94,"0,37362637362637363"
95,"0,37362637362637363"
96,"0,37362637362637363"
97,"0,37362637362637363"
98,"0,37362637362637363"
99,"0,37362637362637363"
100,"0,37362637362637363"
101,"0,37362637362637363"
102,"0,37362637362637363"
103,"0,37362637362637363"
104,"0,37362637362637363"
105,"0,37362637362637363"
106,"0,37362637362637363"
107,"0,37362637362637363"
108,"0,37362637362637363"
109,"0,37362637362637363"
110,"0,37362637362637363"
111,"0,37362637362637363"
112,"0,37362637362637363"
113,"0,37362637362637363"
114,"0,37362637362637363"
115,"0,37362637362637363"
116,"0,37362637362637363"
117,"0,37362637362637363"
118,"0,37362637362637363"
119,"0,37362637362637363"
120,"0,37362637362637363"
121,"0,37362637362637363"
122,"0,37362637362637363"
123,"0,37362637362637363"
124,"0,37362637362637363"
125,"0,3956043956043956"
126,"0,3956043956043956"
127,"0,3956043956043956"
128,"0,3956043956043956"
129,"0,38461538461538464"
130,"0,38461538461538464"
131,"0,38461538461538464"
132,"0,38461538461538464"
133,"0,38461538461538464"
134,"0,38461538461538464"
135,"0,38461538461538464"
136,"0,38461538461538464"
137,"0,38461538461538464"
138,"0,38461538461538464"
139,"0,38461538461538464"
140,"0,38461538461538464"
141,"0,38461538461538464"
142,"0,38461538461538464"
143,"0,38461538461538464"
144,"0,38461538461538464"
145,"0,37362637362637363"
146,"0,37362637362637363"
147,"0,37362637362637363"
148,"0,37362637362637363"
149,"0,37362637362637363"
150,"0,37362637362637363"
151,"0,37362637362637363"
152,"0,37362637362637363"
153,"0,37362637362637363"
154,"0,37362637362637363"
