Number of mail,Accuracy
5,"0,3626373626373626"
6,"0,3626373626373626"
7,"0,3626373626373626"
8,"0,3626373626373626"
9,"0,3626373626373626"
10,"0,3626373626373626"
11,"0,3626373626373626"
12,"0,3626373626373626"
13,"0,3626373626373626"
14,"0,3626373626373626"
15,"0,3626373626373626"
16,"0,3626373626373626"
17,"0,3626373626373626"
18,"0,3626373626373626"
19,"0,3626373626373626"
20,"0,3626373626373626"
21,"0,3626373626373626"
22,"0,3626373626373626"
23,"0,3626373626373626"
24,"0,3626373626373626"
25,"0,3626373626373626"
26,"0,3626373626373626"
27,"0,3626373626373626"
28,"0,3626373626373626"
29,"0,3626373626373626"
30,"0,3626373626373626"
31,"0,3626373626373626"
32,"0,3626373626373626"
33,"0,3626373626373626"
34,"0,3626373626373626"
35,"0,3626373626373626"
36,"0,3626373626373626"
37,"0,3626373626373626"
38,"0,3626373626373626"
39,"0,3626373626373626"
40,"0,3626373626373626"
41,"0,3626373626373626"
42,"0,3626373626373626"
43,"0,3626373626373626"
44,"0,3626373626373626"
45,"0,3626373626373626"
46,"0,3626373626373626"
47,"0,3626373626373626"
48,"0,3626373626373626"
49,"0,3626373626373626"
50,"0,3626373626373626"
51,"0,37362637362637363"
52,"0,38461538461538464"
53,"0,38461538461538464"
54,"0,3956043956043956"
55,"0,38461538461538464"
56,"0,3956043956043956"
57,"0,3956043956043956"
58,"0,3956043956043956"
59,"0,3956043956043956"
60,"0,3956043956043956"
61,"0,3956043956043956"
62,"0,3956043956043956"
63,"0,3956043956043956"
64,"0,4065934065934066"
65,"0,37362637362637363"
66,"0,37362637362637363"
67,"0,37362637362637363"
68,"0,37362637362637363"
69,"0,37362637362637363"
70,"0,3626373626373626"
71,"0,37362637362637363"
72,"0,3626373626373626"
73,"0,3626373626373626"
74,"0,3956043956043956"
75,"0,38461538461538464"
76,"0,3956043956043956"
77,"0,37362637362637363"
78,"0,3956043956043956"
79,"0,38461538461538464"
80,"0,38461538461538464"
81,"0,38461538461538464"
82,"0,38461538461538464"
83,"0,38461538461538464"
84,"0,38461538461538464"
85,"0,3956043956043956"
86,"0,38461538461538464"
87,"0,38461538461538464"
88,"0,38461538461538464"
89,"0,4065934065934066"
90,"0,38461538461538464"
91,"0,38461538461538464"
92,"0,38461538461538464"
93,"0,37362637362637363"
94,"0,38461538461538464"
95,"0,3956043956043956"
96,"0,38461538461538464"
97,"0,3956043956043956"
98,"0,38461538461538464"
99,"0,3956043956043956"
100,"0,37362637362637363"
101,"0,4065934065934066"
102,"0,3956043956043956"
103,"0,3956043956043956"
104,"0,3956043956043956"
105,"0,3956043956043956"
106,"0,3956043956043956"
107,"0,3956043956043956"
108,"0,3956043956043956"
109,"0,3956043956043956"
110,"0,38461538461538464"
111,"0,3956043956043956"
112,"0,37362637362637363"
113,"0,37362637362637363"
114,"0,3956043956043956"
115,"0,37362637362637363"
116,"0,38461538461538464"
117,"0,38461538461538464"
118,"0,37362637362637363"
119,"0,38461538461538464"
120,"0,38461538461538464"
121,"0,37362637362637363"
122,"0,37362637362637363"
123,"0,37362637362637363"
124,"0,37362637362637363"
125,"0,37362637362637363"
126,"0,38461538461538464"
127,"0,38461538461538464"
128,"0,38461538461538464"
129,"0,3956043956043956"
130,"0,3956043956043956"
131,"0,3956043956043956"
132,"0,38461538461538464"
133,"0,3956043956043956"
134,"0,3956043956043956"
135,"0,3956043956043956"
136,"0,38461538461538464"
137,"0,38461538461538464"
138,"0,38461538461538464"
139,"0,38461538461538464"
140,"0,3956043956043956"
141,"0,38461538461538464"
142,"0,3956043956043956"
143,"0,4065934065934066"
144,"0,38461538461538464"
145,"0,4175824175824176"
146,"0,3956043956043956"
147,"0,3956043956043956"
148,"0,3956043956043956"
149,"0,3956043956043956"
150,"0,3956043956043956"
151,"0,3956043956043956"
152,"0,3956043956043956"
153,"0,4065934065934066"
154,"0,4175824175824176"
