Number of mail,Accuracy
5,"0,054945054945054944"
6,"0,3956043956043956"
7,"0,3956043956043956"
8,"0,16483516483516483"
9,"0,3076923076923077"
10,"0,37362637362637363"
11,"0,25274725274725274"
12,"0,5054945054945055"
13,"0,45054945054945056"
14,"0,42857142857142855"
15,"0,46153846153846156"
16,"0,43956043956043955"
17,"0,5164835164835165"
18,"0,46153846153846156"
19,"0,4175824175824176"
20,"0,46153846153846156"
21,"0,46153846153846156"
22,"0,5384615384615384"
23,"0,4835164835164835"
24,"0,4945054945054945"
25,"0,5274725274725275"
26,"0,4725274725274725"
27,"0,5494505494505495"
28,"0,4835164835164835"
29,"0,4835164835164835"
30,"0,45054945054945056"
31,"0,5604395604395604"
32,"0,5384615384615384"
33,"0,5384615384615384"
34,"0,5824175824175825"
35,"0,5494505494505495"
36,"0,4835164835164835"
37,"0,5494505494505495"
38,"0,5054945054945055"
39,"0,5274725274725275"
40,"0,5274725274725275"
41,"0,4945054945054945"
42,"0,4835164835164835"
43,"0,46153846153846156"
44,"0,5164835164835165"
45,"0,5164835164835165"
46,"0,4835164835164835"
47,"0,4835164835164835"
48,"0,4725274725274725"
49,"0,43956043956043955"
50,"0,43956043956043955"
51,"0,5164835164835165"
52,"0,5494505494505495"
53,"0,4945054945054945"
54,"0,5274725274725275"
55,"0,5164835164835165"
56,"0,5164835164835165"
57,"0,5164835164835165"
58,"0,5164835164835165"
59,"0,5274725274725275"
60,"0,5164835164835165"
61,"0,5164835164835165"
62,"0,5164835164835165"
63,"0,5604395604395604"
64,"0,5494505494505495"
65,"0,5494505494505495"
66,"0,5384615384615384"
67,"0,5164835164835165"
68,"0,5384615384615384"
69,"0,5494505494505495"
70,"0,5604395604395604"
71,"0,5494505494505495"
72,"0,5494505494505495"
73,"0,5494505494505495"
74,"0,5494505494505495"
75,"0,5054945054945055"
76,"0,5054945054945055"
77,"0,5274725274725275"
78,"0,4945054945054945"
79,"0,4945054945054945"
80,"0,5274725274725275"
81,"0,5494505494505495"
82,"0,5494505494505495"
83,"0,5604395604395604"
84,"0,5384615384615384"
85,"0,5384615384615384"
86,"0,5604395604395604"
87,"0,5494505494505495"
88,"0,5494505494505495"
89,"0,5384615384615384"
90,"0,5934065934065934"
91,"0,5604395604395604"
92,"0,5604395604395604"
93,"0,5824175824175825"
94,"0,6153846153846154"
95,"0,5934065934065934"
96,"0,5934065934065934"
97,"0,5934065934065934"
98,"0,6263736263736264"
99,"0,5604395604395604"
100,"0,5714285714285714"
101,"0,5824175824175825"
102,"0,5824175824175825"
103,"0,5824175824175825"
104,"0,5824175824175825"
105,"0,5714285714285714"
106,"0,5824175824175825"
107,"0,5714285714285714"
108,"0,6153846153846154"
109,"0,5714285714285714"
110,"0,6043956043956044"
111,"0,6043956043956044"
112,"0,5494505494505495"
113,"0,6263736263736264"
114,"0,5934065934065934"
115,"0,6263736263736264"
116,"0,6043956043956044"
117,"0,6153846153846154"
118,"0,6263736263736264"
119,"0,6263736263736264"
120,"0,6153846153846154"
121,"0,6043956043956044"
122,"0,6043956043956044"
123,"0,6483516483516484"
124,"0,6483516483516484"
125,"0,6483516483516484"
126,"0,6263736263736264"
127,"0,6263736263736264"
128,"0,6373626373626373"
129,"0,6153846153846154"
130,"0,6153846153846154"
131,"0,6153846153846154"
132,"0,6483516483516484"
133,"0,6483516483516484"
134,"0,6043956043956044"
135,"0,5494505494505495"
136,"0,5494505494505495"
137,"0,5824175824175825"
138,"0,5824175824175825"
139,"0,5494505494505495"
140,"0,5494505494505495"
141,"0,5384615384615384"
142,"0,5274725274725275"
143,"0,5274725274725275"
144,"0,5714285714285714"
145,"0,5384615384615384"
146,"0,5384615384615384"
147,"0,5384615384615384"
148,"0,5384615384615384"
149,"0,5274725274725275"
150,"0,5934065934065934"
151,"0,6483516483516484"
